Title,Date,Category,URL
"მე ვფიქრობ, კლინიკაში დაზღვევის მიზნითაა, რომ მართლა რაღაცა არ მოსწიოს თავის თავს - მდინარაძე მიხეილ სააკაშვილზე","სამშაბათი, 24 მაისი, 2022 - 14:02",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/mdinaradzeeeeeeee.jpg?itok=_K5pHrVW
"მარიუპოლში, კორპუსის ნანგრევებში 200-მდე ცხედარი იპოვეს | ანდრიუშენკო","სამშაბათი, 24 მაისი, 2022 - 13:55",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/tskhedari.png.jpg?itok=Hl8S370H
"ყველანაირად შეეცდებიან ზეწოლას ექიმებზე, კლინიკაზე, რომ მათთვის სასურველი პოლიტიკური შედეგი მიიღონ - ადვოკატმა მიხეილ სააკაშვილი მოინახულა","სამშაბათი, 24 მაისი, 2022 - 13:46",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/dito_2.png.jpg?itok=HrTT4oKt
ვერავითარი სიმულაცია და თვითდაზიანება ვერ გახდება გადაყვანის საფუძველი - კობახიძე მიხეილ სააკაშვილზე,"სამშაბათი, 24 მაისი, 2022 - 13:35",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/12/1101150585.jpg?itok=7F_5biv6
"დამატებით რა გავაკეთოთ? სამხედროები გავგზავნოთ, ცხინვალს თავს დავესხათ, თუ რა გავაკეთოთ?! - კობახიძე უკრაინის დახმარებაზე","სამშაბათი, 24 მაისი, 2022 - 13:32",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/10/248014264_4522989014427675_5163946287905061349_n.jpg?itok=lPocyQGN
"""არ გადმოვარდა, გადმოხტა"" - რა მოხდა აბასთუმანში, ივანიშვილის სასტუმროს მშენებლობაზე? ","სამშაბათი, 24 მაისი, 2022 - 13:20",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/digh.png.jpg?itok=ghNKctz-
"დავიცავთ თითოეულ მოსამართლეს - კობახიძე აშშ-ის საელჩოსგან მოსამართლე ლაშა ჩხიკვაძესთან დაკავშირებით, პასუხს ითხოვს","სამშაბათი, 24 მაისი, 2022 - 13:13",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/10/qle_1.jpg?itok=nB02dqxi
"მივიღეთ 2 აღიარებითი ჩვენება, რომ ისინი ელოდნენ საქართველოსგან ომში ჩართვას, გვარებს ჯერ არ დავასახელებთ - კობახიძე ოპოზიციაზე","სამშაბათი, 24 მაისი, 2022 - 13:04",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/9babf26d-0981-4427-bcfc-183a9dea37bd_w1597_n_r1_st_s.jpg?itok=2u41q0T0
"აზოვსტალის ტერიტორიის განაღმვისას, 4 რუსი გამნაღმველი აფეთქდა და ადგილზე მოკვდა","სამშაბათი, 24 მაისი, 2022 - 12:48",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/y2j4ohm5gbjnpapeube4o2d26m.jpg?itok=mflxcCl3
ქუთაისში ჯარისკაცი დაიკარგა,"სამშაბათი, 24 მაისი, 2022 - 12:44",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/jjj.png.jpg?itok=-ji3kZS_
"ის სავარაუდოდ კონტაქტურიც აღარ არის, ვერ დგება საწოლიდან და უჭირს შესვლა კონტაქტში მნახველებთან - ექიმი მიხეილ სააკაშვილზე","სამშაბათი, 24 მაისი, 2022 - 12:39",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/lali-ekimi-.png.jpg?itok=XBjUrrFg
ნათია თურნავა ეროვნული ბანკის საბჭოს წევრობის კანდიდატად წარადგინეს,"სამშაბათი, 24 მაისი, 2022 - 12:35",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/05/016a9947.jpg?itok=w_epttKr
"ბლინკენის წერილის მთავარი არსი იყო, რომ საგარეო საქმეთა მინისტრს ულოცავს თანამდებობაზე დანიშვნას -  პაპუაშვილი","სამშაბათი, 24 მაისი, 2022 - 12:29",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/02/108800.jpg?itok=KU91sEYP
რაფაელ გლუკსმანი იყო მიხეილ სააკაშვილის მრჩეველი - პაპუაშვილის პასუხი ევროპარლამენტარის კრიტიკაზე,"სამშაბათი, 24 მაისი, 2022 - 12:22",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/02/274458651_355981923200248_5423411734853556135_n.jpg?itok=Wh2-MQp2
"""თქვენი სტანდარტითაც სირცხვილია""... ""ნუ გახდებით სიკვდილის მონაწილე"" - მოსამართლე კოჭლამაზაშვილის გადაწყვეტილებას, ხმაური მოჰყვა","სამშაბათი, 24 მაისი, 2022 - 12:10",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/3333.png.jpg?itok=xKQc40Ny
"ბევრი შეცდომაა, ეტყობა, რომ ძალიან დაუდევრადაა შედგენილი - პაპუაშვილი CEPS-ის სტატიაზე","სამშაბათი, 24 მაისი, 2022 - 12:06",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/280642030_305820965074567_9012362169568822743_n.jpg?itok=W3O5EkEf
"ბევრი შეცდომაა, ეტყობა, რომ ძალიან დაუდევრადაა შედგენილი - პაპუაშვილი CEPS-ის სტატიაზე","სამშაბათი, 24 მაისი, 2022 - 12:06",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/280642030_305820965074567_9012362169568822743_n.jpg?itok=W3O5EkEf
ბადრი კოჭლამაზაშვილმა მიხეილ სააკაშვილის პროცესი ისევ გადადო,"სამშაბათი, 24 მაისი, 2022 - 11:48",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/02/dsfsd.png.jpg?itok=JyvSpYOs
"ნაადრევია დავასკვნათ, რომ უკრაინას უკვე აქვს ყველა საჭირო იარაღი - კულება","სამშაბათი, 24 მაისი, 2022 - 11:36",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/kuleba2.jpg?itok=bmwDVqCh
"რუსეთის მიერ სევეროდონეცკის ხელში ჩაგდების შემთხვევაში, მთელი ლუგანსკის ოლქი ოკუპაციის ქვეშ მოექცევა - ბრიტანეთი","სამშაბათი, 24 მაისი, 2022 - 11:30",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/9bfc0cb76e6bbb4bc853a2b3a40a4559.jpeg.jpg?itok=tnCi6VTz
"გამოსავალი ერთადერთია, გადაყვანა საზღვარგარეთ - ჯიშკარიანი მიხეილ სააკაშვილის პროცესზე მივიდა","სამშაბათი, 24 მაისი, 2022 - 11:20",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/637889879427378259_2.107749.jpg?itok=R0_9Xr-R
"უკრაინაში რუსეთის ომს 234 ბავშვი ემსხვერპლა, დაშავდა 667-ზე მეტი - პროკურატურა","სამშაბათი, 24 მაისი, 2022 - 11:09",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/bavshv_0.jpg?itok=EYVTk4EL
586 ახალი შემთხვევა და 5 გარდაცვლილი - 16-22 მაისის კოვიდსტატისტიკა,"სამშაბათი, 24 მაისი, 2022 - 10:54",COVID-19 😷,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/11/koronaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.png.jpg?itok=5XxzIX-c
"უკრაინაში ომი მეტია, ვიდრე მხოლოდ ევროპული საკითხი, ეს გლობალური საკითხია - ბაიდენი","სამშაბათი, 24 მაისი, 2022 - 10:46",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/03/275725264_3096770250585195_2581900046112922059_n.jpg?itok=R_WbUasj
ვითხოვთ ვიდეომასალის სრულად ამოღებას და ფიგურანტი პოლიციელებისთვის უფლებამოსილების შეჩერებას - მჟავანაძე,"სამშაბათი, 24 მაისი, 2022 - 10:43",კრიმინალი,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/mzhavanadze-.png.jpg?itok=nPBLAIl2
"ოკუპანტმა მოსახლეობა დანაღმულ ტერიტორიაზე გაუშვა, ვინც აფეთქებას გადაურჩა დახვრიტეს - სამხრეთის სარდლობა","სამშაბათი, 24 მაისი, 2022 - 10:31",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/ikxkp4vrpro5niu2yrlod52y6m.jpg?itok=4ooLbLRq
"""მადლობა ბ-ნო პრემიერო"" - სასამართლომ ჯაფარიძეს 2 000 ლარის ოდენობის ჯარიმის გადახდა დააკისრა","სამშაბათი, 24 მაისი, 2022 - 10:15",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/01/japara.jpg?itok=45vj1yJb
"დაახლოებით 29 350 ჯარისკაცი, 1 302 ტანკი, 3 194 ჯავშანტექნიკა | რუსეთის დანაკარგი 24 მაისის მონაცემებით","სამშაბათი, 24 მაისი, 2022 - 10:08",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/03/qqqq_0.png.jpg?itok=LTJR2c-0
ყოველ წუთს აქვს მნიშვნელობა მიხეილ სააკაშვილის ჯანმრთელობისთვის - ჯიშკარიანი მოსამართლის პასუხს ელოდება,"სამშაბათი, 24 მაისი, 2022 - 10:01",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/jishkariani.png.jpg?itok=duSs9v4S
"აბასთუმანში, ივანიშვილის სასტუმროს მშენებლობიდან მუშა გადმოვარდა","სამშაბათი, 24 მაისი, 2022 - 09:50",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/03/musha.jpg?itok=3wOCtxF-
"საქართველოს ახლა ჰყავს მთავრობა, რომელიც რუსეთის რეჟიმს იმეორებს - ევროპარლამენტარი გლუკსმანი","სამშაბათი, 24 მაისი, 2022 - 09:45",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/10/gluksmani.jpg?itok=Bnzih5vs
დღეს საქალაქო სასამართლოში მიხეილ სააკაშვილის მორიგი პროცესი გაიმართება,"სამშაბათი, 24 მაისი, 2022 - 09:38",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/11/misha-sakalako-sasamartlo.jpg?itok=fbyYnZcC
"ნიკა გვარამია დაპატიმრებულია მხოლოდ იმიტომ, რომ კრიტიკულია ""ოცნების"" მიმართ - ევროპარლამენტარი გლუკსმანი","სამშაბათი, 24 მაისი, 2022 - 09:32",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/10/1589886695.jpg?itok=WorcxDHU
"""იმდენი  ენერგია და ფული დახარჯეს...მაგრამ დილით ვიღვიძებ და ვიღვიძებ"" | ზელენსკიმ მისი მკვლელობის შემთხვევაში, გეგმა B-ზე ისაუბრა","სამშაბათი, 24 მაისი, 2022 - 01:20",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/photo5458791231946603392.jpg?itok=5z3xcQcs
"ომის მომდევნო კვირები რთული იქნება...ოკუპანტებს სურთ წაგვართვან არა მხოლოდ რაღაც, არამედ ყველაფერი რაც გვაქვს - ზელენსკი","სამშაბათი, 24 მაისი, 2022 - 01:06",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/cfd8fae0-806a-4ca1-9718-3fdfb69c6806.jpg?itok=KRjTrV7v
"ომის გამო თავშესაფრად ქცეული ხარკოვის მეტრო, ხვალიდან ფუნქციონირებას განაახლებს","სამშაბათი, 24 მაისი, 2022 - 00:53",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/kharkovi.jpg?itok=eisKcgJk
24 მაისს თბილისში შუქი ისევ მთელი დღით ჩაქრება | ჩამონათვალი,"სამშაბათი, 24 მაისი, 2022 - 00:40",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/02/santeli-shuki.jpg?itok=0AL6Mml-
რუსთავში ავტომობილი ბეტონმზიდს შეეჯახა | მანქანას ცეცხლი წაეკიდა ,"სამშაბათი, 24 მაისი, 2022 - 00:39",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/jfv7v2gemvrwzd8.jpg?itok=I2BT5-fm
თბილისის ზოგიერთ ქუჩას წყალი არ აქვს | აღდგენის დრო,"სამშაბათი, 24 მაისი, 2022 - 00:24",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/07/cqali2.jpg?itok=i-LxvpZ7
"გვინდა, ვიყოთ საქართველოს პარტნიორები, მაგრამ მთავრობისგან არეული სიგნალები მოდის - გრეგოროვა","სამშაბათი, 24 მაისი, 2022 - 00:15",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/gregorova.jpg?itok=WYmzzk7v
"რუსეთიდან ​მარტო პუტინს შევხვდები, მხოლოდ ომის დასრულების საკითხზე - ზელენსკი","სამშაბათი, 24 მაისი, 2022 - 00:12",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/zelenski_2.jpg?itok=JTAD0Tzr
ქუთაისში ახალგაზრდა კაცს ეძებენ ,"ორშაბათი, 23 მაისი, 2022 - 23:57",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/282279795_336171705313263_6139281851219430820_n.jpg?itok=pGnKBjLc
ჟირინოვსკის შვილმა სახელი შეიცვალა და პოლიტიკიდან წავიდა,"ორშაბათი, 23 მაისი, 2022 - 23:45",უცხოეთი,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/rian_6283300.hr-pic_32ratio_900x600-900x600-41410-2.jpg?itok=WdTbvzBw
"15-წლიანი თანამშრომლობის შემდეგ, Starbucks რუსეთის ბაზარს ტოვებს","ორშაბათი, 23 მაისი, 2022 - 23:33",უცხოეთი,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/f4e22726-9fbe-49e5-8121-aabfbc50bc26.jpg?itok=yWXHnXbM
უკრაინის მიმართ პუტინის საერთო სტრატეგია უცნობია - ოსტინი,"ორშაბათი, 23 მაისი, 2022 - 23:13",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/10/1614882466-download.jpg?itok=eL4b56eC
"პენტაგონი, კიევში აშშ-ს საელჩოს დასაცავად, სპეციალური ოპერაციის ძალების განთავსებას განიხილავს - WSJ","ორშაბათი, 23 მაისი, 2022 - 23:06",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/ashsh-kievshi.jpg?itok=Tx_cEZov
